gene_id,ERR3333392,ERR3333393,ERR3333413,ERR3333414,ERR3333415,ERR3333416,ERR3333417,ERR3333418,ERR3333419,ERR3333420,ERR3333422,ERR3333423,ERR3333424,ERR3333425,logMaxTPM
AT1G19100,2.04019,2.8929,6.21498,4.04243,7.08056,6.16106,4.4788,7.14351,5.18834,5.60996,6.8048,10.073,9.86487,8.60988,1.0442652999153197
AT1G19110,20.3355,22.4185,33.1191,26.925,28.7702,29.5684,28.9812,30.7265,28.0231,27.187,30.974,30.24,29.1468,24.2601,1.53299756674552
AT1G19115,0.0518895,0.0,0.138603,0.0,0.129059,0.0,0.0,0.0487554,0.0512808,0.0647961,0.214479,0.0,0.065526,0.0667388,0.08439000966155306
AT1G19120,31.7527,31.9452,50.3243,49.1373,52.9002,52.5806,48.4583,40.7884,48.4738,50.3064,43.6779,53.1323,54.6133,56.3719,1.7586992327629003
AT1G19130,77.0082,96.277,104.58,115.817,102.571,102.831,93.5319,86.4453,81.0221,88.1027,85.7065,69.6801,74.0429,72.8707,2.0675060488461905
AT1G19140,8.51606,7.2699,24.42775,15.33421,13.35051,15.03319,9.34035,10.09516415,6.48653,6.37753,5.7311,13.62023,11.18405,13.04907,1.405307932892358
AT1G19150,103.93,104.904,84.0528,55.5576,63.3868,91.0789,94.3041,106.29,116.931,133.842,96.7926,138.291,133.666,135.039,2.1439230562903733
AT1G19160,0.340008,0.687775,0.0448674,0.0923664,0.41783,0.318542,0.315934,0.37818,0.825336,0.794563,0.553406,1.08632,1.01665,0.69203,0.3193809213367834
AT1G19170,9.51587,11.6207,10.8326,10.9658,11.1026,12.7487,10.8308,11.0719,8.59433,11.3492,10.1998,10.5572,11.0954,10.0007,1.1382616356559159
AT1G19180,434.12562,180.21096,95.05843,313.316734,219.9546,215.07344,231.3288,147.35817,114.91404,121.8166,339.4518,129.40477,133.1656,160.3501,2.6386146551085172
AT1G19190,1.09187,0.774928,0.741791,0.404172,0.731436,0.619502,0.965578,0.796816,0.839095,0.609957,0.67263,0.760617,0.659098,1.13578,0.32955651534774816
AT1G19200,3.65786,2.5588,7.27752,7.75643,6.63348,4.13167,5.09628,3.82829,3.20772,2.007385,2.294308,3.04618,3.260876,2.507507,0.9423270802190875
AT1G19210,1.5178,0.475541,0.0593304,1.16231,1.1602,0.662932,0.597404,0.961767,0.198577,1.55126,4.8892,0.229989,0.336386,0.514439,0.7700563034148427
AT1G19220,3.49355,6.98848,8.72187,7.49171,10.6618,10.5977,7.93488,9.57748,5.46224,5.82348,7.37782,9.26201,9.23851,5.36082,1.066765588993687
AT1G19230,0.127989,0.185591,0.430587,0.59127,0.381211,0.29557,0.136685,0.2788668,0.0617405,0.1236376,0.134614,0.219468,0.22446,0.126979,0.20174387515978137
AT1G19240,16.5109,15.9796,20.2212,19.467,16.0841,15.9218,14.9419,15.2183,15.1565,14.8743,16.3313,15.8844,16.2684,21.1188,1.3447615617142628
AT1G19250,0.414393,0.440823,2.38685,11.3707,0.137505,0.298847,0.173032,0.241655,2.01427,1.73854,7.86734,12.7378,3.89818,0.213666,1.1379171894659033
AT1G19260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G19270,11.915058,15.180474,22.17073,31.43068,24.06944,23.51214,26.11511,18.44007,22.06303,10.13182,25.14275,15.61187,15.84483,9.17904,1.510956054968118
AT1G19290,1.81374,2.83287,4.40587,3.794850294949,3.93008000253439,3.96941,2.81924000241336,3.03237000094466,2.43356,3.66988,3.52691,3.47561,3.62498,6.20574,0.8576785877057257
AT1G19300,35.8928,20.6515,9.62261,18.3424,16.0203,15.8355,15.3733,15.276,14.371,10.2172,21.7992,10.7956,10.6823,9.99441,1.5669416175039173
AT1G19310,69.5598,61.5223,44.0799,52.3727,57.9282,51.9882,68.8388,50.6674,62.6528,36.8959,55.5222,30.1025,30.6015,26.3436,1.8485573411285892
AT1G19320,10.0615,6.15353,0.0,0.0,0.404058,0.314924,0.374571,1.7436,2.1269,1.3318,1.72473,1.74235,1.2303,3.46345,1.0438140236731392
AT1G19330,10.97448,10.552922,19.41722,18.73105,25.17536,26.01686,30.37156,28.74897,36.09924,22.10333,41.1613,31.52912,33.37555,10.60192,1.6249139934312982
AT1G19340,1.73473,2.06846,7.87055,3.78544,6.93588,6.90711,5.82986,6.41219,6.15821,8.47489,7.45316,7.08528,6.69376,2.66732,0.9765741766696279
AT1G19350,87.422327,115.21739,197.41243,154.71162,216.98417,232.84389,207.773616,197.47325,189.120636,223.59862,190.13677,171.646528,170.174069,110.890694,2.3689260269109726
AT1G19360,25.63144,24.24865,27.98923,42.53038,30.5012,29.46567,26.919272,25.45219,22.790924,23.92842,27.6766,22.84989,24.1875,22.49767,1.638792458363068
AT1G19370,10.7563,12.7851,10.7222,14.3055,24.1521,19.5031,26.58,20.733,26.7293,21.3809,29.6658,20.4372,24.8203,15.4627,1.4866542989127531
AT1G19380,243.652,149.225,74.0443,89.7428,199.002,142.711,170.38,130.187,137.961,103.103,256.561,59.2798,74.7897,28.8657,2.4108801026044273
AT1G19390,0.0,0.0316674,0.0193978,0.0199071,0.0,0.0,0.0,0.0,0.0,0.0,0.0198626,0.0,0.0,0.0374382,0.015962235313407666
AT1G19394,6.08602,20.1558,36.0322,29.9148,28.1975,21.7434,18.2953,14.4945,14.9165,21.5053,16.4349,16.0759,19.2126,22.5682,1.5685795132776121
AT1G19396,18.27977,24.006982,38.371878,32.5559,30.1911,29.768436,23.228242,21.35901,18.87145,33.10031,19.79735,17.70356,20.01067,24.56787,1.5951861307055184
AT1G19397,3.46976,7.79338,13.8852,10.335,11.5552,11.8823,8.08374,7.64618,6.51726,9.01144,5.9377,10.1874,9.57594,9.13749,1.172754674274168
AT1G19400,69.74791,65.207079,100.55713,67.253329,76.7123,79.01872,86.59141,95.25761,116.287997,71.235274,101.90789,105.3541,110.21514,61.056695,2.0692535696313654
AT1G19410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365546,0.035632,0.109225,0.04501964925751319
AT1G19430,12.14458,15.636907,13.193141,13.214274,17.236516,18.265768,16.874075,15.84813,13.511643,14.58047,17.71469,14.483213,14.574408,14.632795,1.2847863261709258
AT1G19440,16.7774,18.7313,7.13749,9.38234,10.7751,15.822,17.354,15.0022,20.4094,24.1346,18.9639,13.5421,13.9002,14.8435,1.400271978118896
AT1G19450,57.9417,54.2459,103.718,89.9806,106.781,110.005,121.417,122.332,79.9604,76.2146,74.0736,67.8909,68.3646,56.3552,2.0910757742464736
AT1G19460,0.0,0.0,0.0,0.0408931,0.0370201,0.0,0.0399738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01740612964116121
AT1G19470,0.0,0.0,0.0,0.0,0.0,0.0,0.0404247,0.0,0.0,0.0,0.04129,0.0,0.0,0.0,0.017571697675936984
AT1G19480,4.402531,5.08015,4.524679,5.283583,4.370555,6.120675,4.794337,4.583192,5.734817,5.560133,4.373376,4.456,4.714378,6.155304,0.854628089908212
AT1G19485,7.65211181,12.8452,18.91175,10.22004,14.63006,14.9969,10.24876918,12.6528,11.17299,14.57536,12.42346,17.94339,16.39934,20.08712,1.3240172694731702
AT1G19490,1.17075,1.30471,3.54378,2.11854,1.35637,1.7441,1.75554,1.61749,1.03399,1.75998,1.16899,3.24095,3.54761,2.55261,0.65778321280759
AT1G19500,0.0,0.0,0.169567,0.0876814,0.236818,0.086353,0.0,0.0,0.0,0.0794297,0.0,0.0,0.0,0.0,0.092305797114183
AT1G19510,2.51542,0.871701,12.0155,21.5266,17.6475,11.2035,6.31489,5.83976,3.26102,7.21369,4.02466,5.66466,4.40398,1.3844,1.3526956474421374
AT1G19520,4.75671,7.22255,10.553526,12.419527,11.420197,11.865672,8.883112,9.4329742,10.1649,11.277859,12.074931,15.860292,18.115234,25.529408,1.42372755887031
AT1G19530,0.132015,1.13828,0.22696,0.276285,0.994436,0.230478,0.285611,0.188098,0.0745865,0.0834316,0.058424,0.0,0.0,0.0,0.33006457388159244
AT1G19540,0.7766356,3.40676,0.789872,0.814558,1.810497,2.469099,0.917778,1.153492,0.3559046,0.2269882,0.438203,0.824405,1.26323,0.93653,0.6441193987028168
AT1G19550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G19565,2.41952,1.57697,0.0,0.187733,0.506678,0.184876,0.915096,0.255599,0.0760051,0.17006,0.09387,0.0880244,0.171704,8.0288,0.9556300329259662
AT1G19570,890.514,680.129,955.526,2509.4,1321.22,1023.09,1045.32,294.138,321.603,177.239,182.199,209.912,185.562,666.051,3.3997429262428613
AT1G19580,31.9019,29.6487,22.36787,28.92085,26.08212,26.58231,24.6805,20.60648,22.54957,24.20216,25.3598,30.91431,32.99606,44.60634,1.6590252206385911
AT1G19600,21.5417,27.1217,46.6714,33.07,35.7195,37.9207,30.4574,30.7133,28.5072,32.1072,28.0129,36.0363,34.0101,43.2968,1.6782579063500882
AT1G19610,1.41575,1.43472,33.897,17.3541,4.45792,15.7201,5.21913,0.674827,2.96992,3.41372,2.28105,2.324,1.36008,2.30306,1.5427880934506764
AT1G19620,0.0,0.0,0.0,0.0,0.0,0.0757027,0.0,0.127679,0.795095,0.445149,1.50177,1.94602,2.88328,1.34313,0.5891987060420085
AT1G19630,0.658345,1.341917,0.3497923,0.663309,1.017779,0.49029958,1.108392,0.4719362,0.2603177,0.5077244,0.530972,1.56171,1.00317,1.4482467,0.4085299636099371
AT1G19640,16.0958,10.6916,2.5619,28.9231,26.4066,15.1558,27.8256,11.2906,9.23489,3.64134,4.07326,6.32363,3.58389,5.72009,1.4760065839502188
AT1G19650,11.24496,13.082223,30.73076,17.12411,22.29368,19.8465,15.889409,15.805281,13.12794,14.33999,13.860539,17.13809,15.52935,16.07153,1.5014804742388759
AT1G19660,171.084783,206.2317,356.78757,287.27248,274.11942,295.88814,244.38988,206.947502,137.314093,144.53417,166.05383,140.17862,132.26124,92.98761,2.5536252485449915
AT1G19670,155.892,95.4282,164.773,345.084,277.402,214.875,183.883,94.6812,139.092,119.6,56.7816,64.9636,44.7912,243.196,2.539181521650866
AT1G19680,21.4534,20.0724,46.708,43.1423,35.5207,36.1352,31.4173,26.1432,21.7555,21.3717,19.5699,23.1508,24.2194,32.3686,1.6785912105817742
AT1G19690,9.63995,14.74,12.8717,9.00002,14.385,14.9295,14.9715,13.0642,16.9647,20.2004,15.712,17.6395,19.0853,25.2823,1.4196633682545827
AT1G19700,13.552201,15.112285,44.394019,28.11761,20.828336,24.573347,16.415741,16.075705,13.71747,16.17485,15.385906,13.620113,12.913325,16.200981,1.6569986350947747
AT1G19710,7.70643,10.1023,15.0332,15.1955,14.5482,14.7869,11.4802,12.8415,9.91457,13.9515,12.4559,11.5811,12.2981,10.8512,1.2093943604282549
AT1G19715,39.94553576,51.060026,41.94804,42.00661,62.59944,54.83537,48.920321,55.16393,48.69112,58.47068,50.58046,53.8059000011836,51.8103,73.79251,1.8738581081780836
AT1G19720,16.9684,23.4928,33.6943,20.5145,37.9599,38.6313,36.0697,42.5816,36.2758,45.2087,52.8078,53.162,51.7189,60.3421,1.787758639641261
AT1G19730,18.4479,18.682,28.3676,32.0267,28.0684,24.7006,24.7772,18.1722,20.5209,17.2904,16.9251,20.2416,23.2522,22.8447,1.5188651815210068
AT1G19740,114.599,128.808,116.658,97.7918,114.965,123.948,121.419,124.703,115.315,115.698,105.337,101.68,108.716,106.72,2.1133014586337775
AT1G19750,0.107776,0.1146,0.506244,0.524093,0.290591347261,0.36006,0.16955947,0.202024,0.140978,0.183399,0.197099,0.381753,0.185685,0.190472,0.18301146841730467
AT1G19770,170.755,81.9013,185.54,200.692,367.645,309.444,356.824,364.757,222.601,343.515,641.851,236.885,210.627,35.2895,2.80811032381621
AT1G19780,0.0837833,0.133645,0.254838,0.354678,0.593003,0.257487,0.694085,0.497324,0.349564,0.811436,1.35987,0.47495,0.360191,0.0350961,0.37288807931006435
AT1G19790,0.0869202,0.0643076,0.0,0.0,0.0264887,0.0533363,0.0285788,0.0598687,0.0475234,0.0,0.0,0.2129874,0.107304,0.304992,0.11560784932448774
AT1G19800,23.21726,29.815906,34.900990116962,30.542993913,34.39159,36.708678,33.9663769,34.46808,30.1825760089836,39.073730222104,37.911807,38.30604,40.814295,44.719432,1.6601008262552206
AT1G19830,0.489115,0.312688,0.0,0.0,0.182115,0.132525,0.131339,0.0458525,0.0,0.0609224,0.0,0.189587,0.246504,0.69072,0.22807169007931274
AT1G19835,27.865495,45.712208,24.4377799,24.424556,35.576494,37.514385,35.15065,36.78870101,29.00415,41.445342,41.3260006,33.596356,31.439539,26.1252286,1.6694303960728918
AT1G19840,3.52473,5.1555,0.940649,2.13066,1.48916,1.28825,1.5615,1.28858,0.983246,1.92937,0.677015,1.22996,1.24349,1.85873,0.7892633356461289
AT1G19850,2.406364,5.36135,1.355602,2.796201,4.30118,3.68788,3.290069,3.611492,2.462541,2.199209,3.70687,6.19518,6.41582,9.56151,1.0237260145790457
AT1G19860,10.050148,12.54338,15.35751,14.46727,12.97617,14.89599,10.43585,10.91024,10.371,13.53243,12.39486,14.82587,16.40274,18.59095,1.292055496217007
AT1G19870,15.17846,23.58883,28.85368,23.1852,23.07859,24.43969,21.2068,21.82574,21.25769,27.63498,27.15524,30.31254,31.03853,31.59025,1.5130876919534546
AT1G19880,12.7161,18.44,18.9956,19.0131,19.5814,19.5692,19.3033,18.7247,20.7579,16.6408,22.1821,26.722,28.4556,33.5163,1.5380242350238842
AT1G19890,0.0,0.0621023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026166349312114374
AT1G19900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G19910,167.576994,165.661081,274.74451,250.40968,215.76574,222.99142,204.84239,177.50793,155.44876,176.440596,148.830179,122.87189,123.31476,108.57831,2.440506874510449
AT1G19920,26.7058,36.0477,48.9462,44.7757,68.5855,75.0537,57.6529,57.236,36.6273,52.1863,50.6878,70.1813,69.7664,69.1724,1.881120347258116
AT1G19930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G19940,2.62219,1.6338,0.1013177,0.2009893,0.975031,0.940935,1.96621,2.5611485,3.22894,7.18817,6.14251,2.7934,3.111326,1.416323,0.9131868507583601
AT1G19950,5.1405,5.65889,3.92033,3.34677,5.04339,5.38477,6.01091,6.06277,6.2189,6.89512,6.98831,6.39955,6.55106,5.73558,0.9024549100640953
AT1G19960,24.1125,28.3485,82.1257,72.6142,45.8637,49.5535,50.2202,76.0099,104.839,93.83,66.8185,28.4138,30.4644,1.9313,2.0246457278486285
AT1G19970,8.03773,8.887327,1.31095,1.05373,2.836658,3.69645,4.050548,4.784937,3.52748,5.033209,5.51296,10.109884,10.49903,11.647582,1.1020075038174757
AT1G19980,2.47737,2.83306,5.61156,5.36109,4.88718,4.23903,3.47504,3.46957,3.26937,4.99484,3.54656,4.13933,3.89135,5.91016,0.8394881032805132
AT1G19990,3.60408,6.00898,4.98028,4.9416,5.8914,5.91578,5.68681,5.64119,11.1795,10.162,10.2841,15.7733,18.4268,21.0637,1.3436783437723867
AT1G20000,0.0,0.0,0.0,0.0,0.0,0.0987543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040900587706509055
AT1G20010,116.527,142.156,64.1826,43.3663,146.061,140.801,195.348,174.166,231.263,290.044,261.317,182.579,186.621,136.517,2.463958650541529
AT1G20020,948.070003377,1091.67264,709.193504,562.1511056366,869.11296,924.62417,886.63538,761.3288,1047.0853,1165.5719,1201.8580003468,1100.57608,1124.0685,1123.997,3.080214361083998
AT1G20030,10.84793,10.12013,0.701624,0.689637,3.094711,1.722066,3.329319,1.73618,3.01079,1.418973,2.135203,3.308476,3.718704,5.626922,1.0736424796198756
AT1G20050,55.7705,60.2455,92.7976,107.439,80.9371,82.5155,69.5681,61.2229,55.0045,66.7522,67.1167,65.1354,68.972,78.9053,2.0351855039611557
AT1G20060,0.536047375128,0.939921160614,0.426962,0.5261842,0.891031,0.568955,0.7731726,1.16404600044231,0.9996556,0.8061565825,1.195357,1.91207600090485,2.2812276,3.34560009213596,0.6380497574723553
AT1G20065,0.1627313,0.0,0.359839,0.235199,0.417117,0.138459,0.2353119,0.3230636,1.5357489,0.427335,0.838176,1.73758,1.6230015,1.957317,0.4708978798091351
AT1G20070,82.6439,48.7888,19.6945,21.3209,26.1891,23.5726,16.018,10.3436,4.19089,5.82902,3.41917,6.48654,6.40721,47.3361,1.9224342741335856
AT1G20080,0.104352,0.218306,0.0,0.0280439,0.101706,0.0769243,0.274305,0.0766178,0.0228074,0.0761673,0.391834,0.701342,0.62591068309,0.8954345,0.2777087812287872
